"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"175","Acacia calcicola","3.0-5.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-140.00","1.00-10.00","12.0","4.00-8.00",0,6,4,3,NA,1,"",2,"",NA,NA,NA,"0.6-0.8","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(4)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,4,8,6,0.6,0.8,0.7,3,5,4,0
"176","Acacia calligera","0.5-1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","5.00-15.00","3.00-7.00","2.0-6.0","5.00-6.00",NA,NA,NA,NA,NA,NA,"",NA,"",1,5,NA,"0.3-0.4","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,5,6,5.5,0.3,0.4,0.35,0.5,1.5,1,0
"177","Acacia calyculata","2.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","70.00-90.00","5.00-12.00","5.0-11.0","3.00-5.00",3,6,0,3,0,1,"",3,"",1,15,NA,"0.4-0.6","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,8,3,5,4,0.4,0.6,0.5,2.5,2.5,2.5,0
"178","Acacia cambagei","4.0-15.0",0,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-140.00","3.00-10.00","13.0","8.00-12.00",NA,0,3,0,NA,1,"",3,"",NA,NA,NA,"0.5-0.9","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,8,12,10,0.5,0.9,0.7,4,15,9.5,0
"179","Acacia camptocarpa","0.6-1.0",1,0,NA,"","","","","0.50","",0,"","","","","","","","","","","","","",0,"","65.00-110.00","10.00-22.00","3.0-8.0","4.00-6.00",3,NA,NA,NA,NA,NA,"",NA,"",1,NA,NA,"0.5-0.7","0.20-0.30","",3,"",1,4,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,5.5,4,6,5,0.5,0.7,0.6,0.6,1,0.8,0
"180","Acacia camptoclada","0.2-1.0",1,0,NA,"","","","","","",0,"","","","","","","","","","","","","",0,"","7.00-17.00","2.00-5.00","","4.00-5.00",NA,1,NA,25,NA,0,"1.0-2.0",NA,"",NA,NA,NA,"0.3","","",0,"",0,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4.5,0.3,0.3,0.3,0.2,1,0.6,0
"181","Acacia campylophylla","0.1-0.6",1,NA,NA,"","","","","0.50-1.50","",2,"","","","","","","","","","","","","",0,"","10.00-20.00","1.00-1.50","3.7","4.00-7.50",NA,0,3,0,NA,1,"",3,"",NA,NA,NA,"0.3","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,3.7,3.7,4,7.5,5.75,0.3,0.3,0.3,0.1,0.6,0.35,1
"182","Acacia cana","6.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-130.00","2.00-5.00","10.0","4.00-6.00",NA,6,NA,2,NA,1,"",2,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,4,6,5,NA,NA,NA,6,6,6,0
"183","Acacia cangaiensis","2.0-6.0",1,0,NA,"","","10.00-60.00","15.00-40.00","","",NA,"1.0-6.0","10.00-82.00","","","","","","","","","","","",NA,"","","","2.0-14.0","8.00-13.00",3,1,NA,2,2,0,"",2,"",NA,NA,NA,"","","",3,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,10,60,35,1,6,3.5,10,82,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,8,8,13,10.5,NA,NA,NA,2,6,4,0
"184","Acacia capillaris","4.0",1,NA,NA,"","","","","3.00-4.50","",NA,"","","","","","","","","","","","","",0,"","5.00-9.00","0.30-0.50","1.5-4.0","4.00-4.50",3,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.4","","",0,"2.0-8.0",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","2.0-3.0","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,4,2.75,4,4.5,4.25,0.4,0.4,0.4,4,4,4,0
"185","Acacia cardiophylla","1.0-3.5",1,NA,NA,"","","10.00-60.00","","","",NA,"8.0-19.0","0.50-1.20","","","","","","","","","","","",NA,"","","","1.5-11.5","4.00-6.50",3,6,NA,2,NA,1,"",NA,"",1,5,NA,"","","",0,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,10,60,35,8,19,13.5,0.5,1.2,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,11.5,6.5,4,6.5,5.25,NA,NA,NA,1,3.5,2.25,0
"186","Acacia carens","0.6",1,NA,NA,"","","","","1.50-3.00","",NA,"","","","","","","","","","","","","",0,"","1.00-2.00","","10.0","4.00",NA,1,2,35,NA,1,"",23,"",NA,NA,NA,"0.5","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,4,4,4,0.5,0.5,0.5,0.6,0.6,0.6,0
"187","Acacia carneorum","5.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","3.00-9.00","1.00-2.00","2.0-5.0","8.00-12.00",NA,0,NA,23,NA,1,"",NA,"",1,1,NA,"0.6","","",NA,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3.5,8,12,10,0.6,0.6,0.6,5,5,5,0
"188","Acacia carnosula","0.5-1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","5.00-10.00","1.00-2.50","4.0","2.50-3.50",3,0,NA,0,NA,1,"",3,"",1,5,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2.5,3.5,3,NA,NA,NA,0.5,1.5,1,0
"189","Acacia caroleae","7.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-140.00","1.50-4.00","6.0-8.0","",NA,6,NA,NA,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",3,"",1,3,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,7,NA,NA,NA,0.4,0.5,0.45,7,7,7,0
"190","Acacia cassicula","1.0-2.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","15.00-20.00","5.00-7.00","7.0","3.00-4.00",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.4-0.5","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,3,4,3.5,0.4,0.5,0.45,1,2.5,1.75,0
"191","Acacia castanostegia","0.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","11.00-29.00","1.00-1.50","3.0-8.0","3.00-3.50",3,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.3-0.4","","",3,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,5.5,3,3.5,3.25,0.3,0.4,0.35,0.5,0.5,0.5,0
"192","Acacia castorum","3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","15.00-25.00","2.00-3.00","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,0
"193","Acacia cataractae","2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-105.00","7.50-20.00","2.6-5.0","",3,2,2,3,NA,1,"",3,"",1,2,NA,"0.3-0.5","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,5,3.8,NA,NA,NA,0.3,0.5,0.4,2,2,2,0
"194","Acacia catechu","6.0",0,0,NA,"","","60.00-120.00","15.00-30.00","","",0,"12.0-20.0","","","","","","","","","","","","",NA,"","","","6.0-12.0","1.50-2.00",NA,NA,NA,NA,NA,NA,"",NA,"",1,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,60,120,90,12,20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,9,1.5,2,1.75,NA,NA,NA,6,6,6,1
"195","Acacia catenulata","15.0",0,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","30.00-110.00","3.00-8.00","8.0","4.00-6.00",3,6,NA,NA,1,1,"",3,"",NA,NA,NA,"0.4-0.5","0.20-0.25","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,4,6,5,0.4,0.5,0.45,15,15,15,0
"196","Acacia cavealis","0.3-0.7",1,NA,NA,"","","","","2.20","",2,"","","","","","","","","","","","","",0,"","10.00-35.00","1.00-1.80","4.5","3.00-3.50",3,12,NA,23,0,1,"",23,"",NA,NA,NA,"0.3","","",3,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5,4.5,3,3.5,3.25,0.3,0.3,0.3,0.3,0.7,0.5,0
"197","Acacia cedroides","0.3-1.0",1,NA,NA,"","","","","1.50-4.00","",NA,"","","","","","","","","","","","","",0,"","10.00-30.00","0.80-1.50","5.0","2.50-3.50",0,1,NA,25,0,1,"",23,"",1,NA,NA,"0.4-0.5","","",3,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,2.5,3.5,3,0.4,0.5,0.45,0.3,1,0.65,0
"198","Acacia celastrifolia","1.0-3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","30.00-70.00","1.50-3.50","12.0","3.00-4.00",NA,26,12,35,NA,1,"",NA,"",NA,NA,NA,"0.4-0.5","","",3,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,3,4,3.5,0.4,0.5,0.45,1,3,2,0
"199","Acacia celsa","8.0-30.0",0,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-155.00","15.00-25.00","2.0-5.0","1.50-2.00",3,1,1,3,NA,NA,"",3,"",1,35,NA,"0.3-0.6","","",3,"",1,4,"","",NA,"","","","#Name?",NA,"#Name?",0,"(0)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3.5,1.5,2,1.75,0.3,0.6,0.45,8,30,19,0
"200","Acacia centrinervia","0.3-1.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","15.00-25.00","2.00-3.00","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1,0.65,0
"201","Acacia cerastes","1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","1.00","","4.5","3.00-4.00",3,0,1,2,NA,1,"",NA,"",1,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5,4.5,3,4,3.5,NA,NA,NA,1.5,1.5,1.5,0
"202","Acacia chalkeri","3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","25.00-55.00","3.00-10.00","9.0","5.00-7.00",NA,6,NA,0,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",0,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,5,7,6,0.4,0.5,0.45,3,3,3,0
"203","Acacia chamaeleon","2.0-3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-210.00","2.00-5.00","10.0","4.00-5.00",NA,6,3,2,NA,1,"",3,"",NA,2,NA,"0.4-0.5","","",3,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,4,5,4.5,0.4,0.5,0.45,2,3,2.5,0
"204","Acacia chapmanii","0.5-2.0",1,NA,NA,"","","","","","",2,"","","","","","","","","","","","","",0,"","20.00-30.00","0.70-1.00","4.0","2.50-3.00",NA,1,NA,NA,NA,0,"1.0",3,"",NA,NA,NA,"0.3","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2.5,3,2.75,0.3,0.3,0.3,0.5,2,1.25,0
"205","Acacia chartacea","1.5-4.0",1,0,NA,"","","","","3.00-6.00","",NA,"","","","","","","","","","","","","",0,"","25.00-55.00","10.00-25.00","5.0","8.00-12.00",3,0,NA,0,NA,1,"",NA,"",NA,NA,NA,"0.3","","",NA,"",1,NA,"","",NA,"0.50-1.00","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,8,12,10,0.3,0.3,0.3,1.5,4,2.75,1
"206","Acacia cheelii","7.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","100.00-160.00","10.00-18.00","5.0-11.0","",NA,6,4,23,NA,1,"",2,"",NA,NA,NA,"0.4-0.7","","",3,"",1,2,"","",NA,"","","","#Name?",NA,"#Name?",0,"(4)","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,8,NA,NA,NA,0.4,0.7,0.55,7,7,7,0
"207","Acacia chinchillensis","0.3-2.0",1,0,NA,"","","5.00-15.00","1.00-6.00","","",NA,"2.0-4.0","8.00-15.00","","","","","","","","","","","",NA,"","","","4.0-10.0","4.00-7.00",3,1,NA,2,NA,1,"",2,"",NA,NA,NA,"","","",0,"",1,2,"","",NA,"","","","#Name?",NA,"#Name?",0,"(4)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,5,15,10,2,4,3,8,15,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,7,4,7,5.5,NA,NA,NA,0.3,2,1.15,0
"208","Acacia chippendalei","0.5",1,NA,NA,"","","","","0.40-1.00","",NA,"","","","","","","","","","","","","",0,"","2.50-8.00","","1.5-7.0","5.00-7.00",NA,2,23,NA,NA,1,"",3,"",NA,NA,NA,"0.4","","",NA,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,7,4.25,5,7,6,0.4,0.4,0.4,0.5,0.5,0.5,0
"209","Acacia chisholmii","4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","15.00-55.00","0.70-2.00","2.5-14.0","",NA,1,3,2,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",0,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,14,8.25,NA,NA,NA,0.4,0.5,0.45,4,4,4,0
"210","Acacia chrysella","3.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-130.00","1.00-5.50","10.0","5.00-6.00",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.4-0.6","","",0,"",1,1,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,5,6,5.5,0.4,0.6,0.5,3.5,3.5,3.5,0
"211","Acacia chrysocephala","0.3-0.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","3.00-12.00","1.50-10.00","3.0","2.00-3.00",NA,2,2,25,NA,1,"",23,"",NA,NA,NA,"0.3","","",3,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"(4)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,2.5,0.3,0.3,0.3,0.3,0.5,0.4,0
"212","Acacia chrysochaeta","1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","20.00-45.00","2.00-3.00","4.5-6.0","7.00-10.00",2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.5-5.0","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"(4)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6,5.25,7,10,8.5,0.5,5,2.75,1.5,1.5,1.5,0
"213","Acacia chrysotricha","6.0-15.0",0,0,NA,"","","50.00-140.00","","","",NA,"12.0-18.0","15.00-45.00","","","","","","","","","","","",NA,"","","","3.0-10.0","4.00-6.00",3,6,1,2,NA,1,"",2,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"(4)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,50,140,95,12,18,15,15,45,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,6.5,4,6,5,NA,NA,NA,6,15,10.5,0
"214","Acacia cincinnata","5.0-25.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","100.00-160.00","14.00-30.00","","5.00-6.00",6,1,0,2,NA,0,"",3,"",NA,NA,NA,"0.4-0.5","","",0,"",1,5,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5.5,0.4,0.5,0.45,5,25,15,0
"215","Acacia citrinoviridis","5.0-15.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-120.00","7.00-13.00","2.0-12.0","10.00-15.00",NA,6,NA,5,NA,1,"",2,"",NA,NA,NA,"","","",0,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"(4)","(2)","","","","","#Name?","#Name?","0.50-0.65","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,7,10,15,12.5,NA,NA,NA,5,15,10,0
"216","Acacia citriodora","0.5-2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","20.00-40.00","2.00-4.00","2.5-5.0","3.00-5.00",NA,NA,NA,NA,NA,NA,"",NA,"",1,2,NA,"0.3-0.5","","",3,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,5,3.75,3,5,4,0.3,0.5,0.4,0.5,2,1.25,0
"217","Acacia clandullensis","1.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","7.00-11.00","5.00-10.00","6.0-7.5","15.00-22.00",3,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7.5,6.75,15,22,18.5,NA,NA,NA,1,1,1,0
"218","Acacia claviseta","0.6-0.8",1,1,NA,"","","","","1.50-2.50","",NA,"","","","","","","","","","","","","",0,"","4.00-7.00","0.30-0.40","1.0-3.5","6.00-8.00",3,NA,NA,NA,NA,NA,"",NA,"",1,NA,NA,"0.4-0.6","0.30-0.40","",3,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.5,2.25,6,8,7,0.4,0.6,0.5,0.6,0.8,0.7,0
"219","Acacia clelandii","5.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-125.00","1.00-1.50","2.5-5.0","6.00-10.00",3,0,3,NA,NA,1,"",3,"",NA,NA,NA,"0.4-0.6","0.30-0.35","",NA,"",1,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,5,3.75,6,10,8,0.4,0.6,0.5,5,5,5,0
